day,locations,types,sensor_id,heading
friday,Bathroom,Cabinet,67,Personalneeds
friday,Bathroom,Door,130,Moving
friday,Bathroom,Exhaust Fan,96,Personalneeds
friday,Bathroom,Light switch,101,Personalneeds
friday,Bathroom,Medicine cabinet,57,Personalneeds
friday,Bathroom,Medicine cabinet,58,Personalneeds
friday,Bathroom,Shower faucet,93,Personalneeds
friday,Bathroom,Sink faucet - cold,88,Personalneeds
friday,Bathroom,Sink faucet - hot,68,Personalneeds
friday,Bathroom,Toilet Flush,100,Personalneeds
friday,Bedroom,Drawer,62,Personalneeds
friday,Bedroom,Drawer,71,Personalneeds
friday,Bedroom,Drawer,86,Personalneeds
friday,Bedroom,Drawer,146,Personalneeds
friday,Bedroom,Jewelry box,139,Personalneeds
friday,Bedroom,Light switch,108,Personalneeds
friday,Foyer,Closet,81,Goingout
friday,Foyer,Door,140,Moving
friday,Foyer,Light switch,104,Goingout
friday,Kitchen,Burner,94,Cooking
friday,Kitchen,Cabinet,51,Domesticwork
friday,Kitchen,Cabinet,53,Domesticwork
friday,Kitchen,Cabinet,55,Domesticwork
friday,Kitchen,Cabinet,59,Domesticwork
friday,Kitchen,Cabinet,61,Domesticwork
friday,Kitchen,Cabinet,61,Domesticwork
friday,Kitchen,Cabinet,63,Domesticwork
friday,Kitchen,Cabinet,66,Domesticwork
friday,Kitchen,Cabinet,72,Domesticwork
friday,Kitchen,Cabinet,73,Domesticwork
friday,Kitchen,Cabinet,80,Domesticwork
friday,Kitchen,Dishwasher,70,Domesticwork
friday,Kitchen,Door,54,Moving
friday,Kitchen,Door,141,Moving
friday,Kitchen,Drawer,84,Domesticwork
friday,Kitchen,Drawer,135,Domesticwork
friday,Kitchen,Freezer,137,Personalneeds
friday,Kitchen,Laundry Dryer,90,Domesticwork
friday,Kitchen,Light switch,95,Domesticwork
friday,Kitchen,Light switch,105,Domesticwork
friday,Kitchen,Light switch,120,Domesticwork
friday,Kitchen,Microwave,143,Cooking
friday,Kitchen,Oven,129,Cooking
friday,Kitchen,Refrigerator,91,Personalneeds
friday,Kitchen,Refrigerator,126,Personalneeds
friday,Kitchen,Toaster,131,Cooking
friday,Kitchen,Washing Machine,142,Domesticwork
friday,Living room,DVD,56,Leisure
friday,Living room,Lamp,76,Leisure
friday,Living room,Light switch,97,Leisure
friday,Living room,Light switch,107,Leisure
friday,Office/study,Drawer,82,Educational
friday,Office/study,Light switch,92,Educational
monday,Bathroom,Cabinet,67,Personalneeds
monday,Bathroom,Door,130,Moving
monday,Bathroom,Exhaust Fan,96,Personalneeds
monday,Bathroom,Light switch,101,Personalneeds
monday,Bathroom,Medicine cabinet,57,Personalneeds
monday,Bathroom,Medicine cabinet,58,Personalneeds
monday,Bathroom,Shower faucet,93,Personalneeds
monday,Bathroom,Sink faucet - cold,88,Personalneeds
monday,Bathroom,Sink faucet - hot,68,Personalneeds
monday,Bathroom,Toilet Flush,100,Personalneeds
monday,Bedroom,Drawer,62,Personalneeds
monday,Bedroom,Drawer,71,Personalneeds
monday,Bedroom,Drawer,75,Personalneeds
monday,Bedroom,Jewelry box,139,Personalneeds
monday,Bedroom,Lamp,64,Leisure
monday,Foyer,Closet,81,Goingout
monday,Foyer,Door,140,Moving
monday,Kitchen,Burner,94,Cooking
monday,Kitchen,Cabinet,53,Domesticwork
monday,Kitchen,Cabinet,55,Domesticwork
monday,Kitchen,Cabinet,61,Domesticwork
monday,Kitchen,Cabinet,63,Domesticwork
monday,Kitchen,Cabinet,72,Domesticwork
monday,Kitchen,Cabinet,73,Domesticwork
monday,Kitchen,Cabinet,80,Domesticwork
monday,Kitchen,Door,54,Moving
monday,Kitchen,Door,141,Moving
monday,Kitchen,Drawer,84,Domesticwork
monday,Kitchen,Freezer,137,Personalneeds
monday,Kitchen,Laundry Dryer,90,Domesticwork
monday,Kitchen,Light switch,120,Domesticwork
monday,Kitchen,Microwave,143,Cooking
monday,Kitchen,Refrigerator,91,Personalneeds
monday,Kitchen,Toaster,131,Cooking
monday,Office/study,Drawer,82,Educational
monday,Office/study,Light switch,92,Educational
saturday,Bathroom,Cabinet,67,Personalneeds
saturday,Bathroom,Door,130,Moving
saturday,Bathroom,Exhaust Fan,96,Personalneeds
saturday,Bathroom,Light switch,101,Personalneeds
saturday,Bathroom,Medicine cabinet,57,Personalneeds
saturday,Bathroom,Shower faucet,93,Personalneeds
saturday,Bathroom,Sink faucet - cold,88,Personalneeds
saturday,Bathroom,Sink faucet - hot,68,Personalneeds
saturday,Bathroom,Toilet Flush,100,Personalneeds
saturday,Bedroom,Drawer,62,Personalneeds
saturday,Bedroom,Drawer,71,Personalneeds
saturday,Bedroom,Drawer,75,Personalneeds
saturday,Bedroom,Drawer,86,Personalneeds
saturday,Bedroom,Drawer,146,Personalneeds
saturday,Bedroom,Jewelry box,139,Personalneeds
saturday,Bedroom,Light switch,108,Personalneeds
saturday,Bedroom,Window,85,Domesticwork
saturday,Foyer,Closet,81,Goingout
saturday,Foyer,Door,140,Moving
saturday,Foyer,Light switch,104,Goingout
saturday,Kitchen,Burner,94,Cooking
saturday,Kitchen,Burner,99,Cooking
saturday,Kitchen,Burner,106,Cooking
saturday,Kitchen,Burner,118,Cooking
saturday,Kitchen,Cabinet,51,Domesticwork
saturday,Kitchen,Cabinet,53,Domesticwork
saturday,Kitchen,Cabinet,55,Domesticwork
saturday,Kitchen,Cabinet,59,Domesticwork
saturday,Kitchen,Cabinet,61,Domesticwork
saturday,Kitchen,Cabinet,63,Domesticwork
saturday,Kitchen,Cabinet,63,Domesticwork
saturday,Kitchen,Cabinet,66,Domesticwork
saturday,Kitchen,Cabinet,72,Domesticwork
saturday,Kitchen,Cabinet,73,Domesticwork
saturday,Kitchen,Cabinet,80,Domesticwork
saturday,Kitchen,Cabinet,83,Domesticwork
saturday,Kitchen,Cabinet,83,Domesticwork
saturday,Kitchen,Cabinet,89,Domesticwork
saturday,Kitchen,Cabinet,132,Domesticwork
saturday,Kitchen,Coffee machine,119,Cooking
saturday,Kitchen,Dishwasher,70,Domesticwork
saturday,Kitchen,Door,54,Moving
saturday,Kitchen,Door,141,Moving
saturday,Kitchen,Drawer,52,Domesticwork
saturday,Kitchen,Drawer,69,Domesticwork
saturday,Kitchen,Drawer,78,Domesticwork
saturday,Kitchen,Drawer,84,Domesticwork
saturday,Kitchen,Drawer,87,Domesticwork
saturday,Kitchen,Drawer,125,Domesticwork
saturday,Kitchen,Drawer,135,Domesticwork
saturday,Kitchen,Freezer,137,Personalneeds
saturday,Kitchen,Garbage disposal,98,Domesticwork
saturday,Kitchen,Laundry Dryer,90,Domesticwork
saturday,Kitchen,Light switch,95,Domesticwork
saturday,Kitchen,Light switch,105,Domesticwork
saturday,Kitchen,Light switch,120,Domesticwork
saturday,Kitchen,Microwave,143,Cooking
saturday,Kitchen,Oven,129,Cooking
saturday,Kitchen,Refrigerator,91,Personalneeds
saturday,Kitchen,Refrigerator,126,Personalneeds
