@RELATION dados_arvore

@ATTRIBUTE heading {Personalneeds,Goingout,Moving,Domesticwork,Cooking,Leisure,Educational}
@ATTRIBUTE day NUMERIC
@ATTRIBUTE locations NUMERIC
@ATTRIBUTE types NUMERIC
@ATTRIBUTE sensor_id NUMERIC

@DATA
Cooking,6,2,30,94
Cooking,6,2,26,143
Cooking,6,2,26,143
Cooking,6,2,26,143
Cooking,6,2,26,143
Cooking,6,2,26,143
Cooking,6,2,26,143
Cooking,6,2,71,129
Cooking,6,2,71,129
Cooking,6,2,71,129
Cooking,6,2,71,129
Cooking,6,2,30,131
Cooking,6,2,30,131
Cooking,6,2,30,131
Cooking,6,2,30,131
Cooking,6,2,30,131
Cooking,6,2,30,131
Cooking,6,2,30,131
Cooking,6,2,30,131
Cooking,2,2,30,94
Cooking,2,2,26,143
Cooking,2,2,26,143
Cooking,2,2,26,143
Cooking,2,2,26,143
Cooking,2,2,26,143
Cooking,2,2,26,143
Cooking,2,2,26,143
Cooking,2,2,30,131
Cooking,2,2,30,131
Cooking,2,2,30,131
Cooking,2,2,30,131
Cooking,2,2,30,131
Cooking,2,2,30,131
Cooking,2,2,30,131
Cooking,2,2,30,131
Cooking,2,2,30,131
Cooking,2,2,30,131
Cooking,2,2,30,131
Cooking,7,2,30,94
Cooking,7,2,30,94
Cooking,7,2,30,94
Cooking,7,2,30,94
Cooking,7,2,30,94
Cooking,7,2,30,94
Cooking,7,2,30,94
Cooking,7,2,30,94
Cooking,7,2,30,94
Cooking,7,2,30,94
Cooking,7,2,30,94
Cooking,7,2,30,94
Cooking,7,2,30,94
Cooking,7,2,30,94
Cooking,7,2,30,94
Cooking,7,2,30,94
Cooking,7,2,30,94
Cooking,7,2,30,94
Cooking,7,2,30,94
Cooking,7,2,30,94
Cooking,7,2,30,99
Cooking,7,2,30,99
Cooking,7,2,30,99
Cooking,7,2,30,99
Cooking,7,2,30,99
Cooking,7,2,30,99
Cooking,7,2,30,99
Cooking,7,2,30,106
Cooking,7,2,30,106
Cooking,7,2,30,106
Cooking,7,2,30,106
Cooking,7,2,30,106
Cooking,7,2,30,106
Cooking,7,2,30,118
Cooking,7,2,30,118
Cooking,7,2,30,118
Cooking,7,2,30,118
Cooking,7,2,30,118
Cooking,7,2,30,118
Cooking,7,2,30,118
Cooking,7,2,30,118
Cooking,7,2,30,118
Cooking,7,2,30,118
Cooking,7,2,30,118
Cooking,7,2,30,118
Cooking,7,2,30,118
Cooking,7,2,30,118
Cooking,7,2,30,118
Cooking,7,2,30,118
Cooking,7,2,30,118
Cooking,7,2,30,118
Cooking,7,2,30,118
Cooking,7,2,30,118
Cooking,7,2,30,118
Cooking,7,2,30,118
Cooking,7,2,29,119
Cooking,7,2,26,143
Cooking,7,2,26,143
Cooking,7,2,26,143
Cooking,7,2,26,143
Cooking,7,2,26,143
Cooking,7,2,26,143
Cooking,7,2,26,143
Cooking,7,2,26,143
Cooking,7,2,26,143
Cooking,7,2,26,143
Cooking,7,2,26,143
Cooking,7,2,26,143
Cooking,7,2,26,143
Cooking,7,2,26,143
Cooking,7,2,26,143
Cooking,7,2,26,143
Cooking,7,2,26,143
Cooking,7,2,71,129
Cooking,7,2,71,129
Cooking,7,2,71,129
Cooking,7,2,71,129
Cooking,7,2,71,129
Cooking,7,2,71,129
Cooking,7,2,71,129
Cooking,7,2,71,129
Cooking,7,2,71,129
Cooking,7,2,71,129
Cooking,7,2,71,129
Cooking,7,2,71,129
Cooking,7,2,71,129
Cooking,7,2,71,129
Cooking,7,2,71,129
Cooking,7,2,71,129
Cooking,7,2,71,129
Cooking,7,2,71,129
Cooking,7,2,71,129
Cooking,7,2,30,131
Cooking,7,2,30,131
Cooking,7,2,30,131
Cooking,7,2,30,131
Cooking,7,2,30,131
Cooking,7,2,30,131
Cooking,7,2,30,131
Cooking,7,2,30,131
Cooking,7,2,30,131
Cooking,7,2,30,131
Cooking,7,2,30,131
Cooking,7,2,30,131
Cooking,7,2,30,131
Cooking,7,2,30,131
Cooking,7,2,30,131
Cooking,7,2,30,131
Cooking,7,2,30,131
Cooking,7,2,30,131
Cooking,7,2,30,131
Cooking,7,2,30,131
Cooking,1,2,26,143
Cooking,1,2,26,143
Cooking,1,2,26,143
Cooking,1,2,26,143
Cooking,1,2,26,143
Cooking,1,2,26,143
Cooking,1,2,26,143
Cooking,1,2,71,129
Cooking,1,2,71,129
Cooking,1,2,71,129
Cooking,1,2,71,129
Cooking,1,2,71,129
Cooking,1,2,30,131
Cooking,1,2,30,131
Cooking,1,2,30,131
Cooking,1,2,30,131
Cooking,1,2,30,131
Cooking,4,2,30,94
Cooking,4,2,30,94
Cooking,4,2,30,94
Cooking,4,2,30,106
Cooking,4,2,30,106
Cooking,4,2,29,119
Cooking,4,2,29,119
Cooking,4,2,26,143
Cooking,4,2,26,143
Cooking,4,2,26,143
Cooking,4,2,26,143
Cooking,4,2,26,143
Cooking,4,2,26,143
Cooking,4,2,26,143
Cooking,4,2,26,143
Cooking,4,2,26,143
Cooking,4,2,26,143
Cooking,4,2,26,143
Cooking,4,2,26,143
Cooking,4,2,26,143
Cooking,4,2,30,131
Cooking,4,2,30,131
Cooking,4,2,30,131
Cooking,4,2,30,131
Cooking,4,2,30,131
Cooking,4,2,30,131
Cooking,4,2,30,131
Cooking,4,2,30,131
Cooking,4,2,30,131
Cooking,4,2,30,131
Cooking,4,2,30,131
Cooking,4,2,30,131
Cooking,4,2,30,131
Cooking,4,2,30,131
Cooking,4,2,30,131
Cooking,4,2,30,131
Cooking,4,2,30,131
Cooking,4,2,30,131
Cooking,4,2,30,131
Cooking,4,2,30,131
Cooking,3,2,26,143
Cooking,3,2,26,143
Cooking,3,2,26,143
Cooking,3,2,26,143
Cooking,3,2,26,143
Cooking,3,2,26,143
Cooking,3,2,30,131
Cooking,3,2,30,131
Cooking,3,2,30,131
Cooking,3,2,30,131
Cooking,3,2,30,131
Cooking,3,2,30,131
Cooking,4,2,29,119
Cooking,4,2,29,119
Cooking,4,2,26,143
Cooking,4,2,26,143
Cooking,4,2,26,143
Cooking,4,2,26,143
Cooking,4,2,26,143
Cooking,4,2,26,143
Cooking,4,2,26,143
Cooking,4,2,26,143
