@RELATION dados_arvore

@ATTRIBUTE heading {2,1,10,3,8,5,4}
@ATTRIBUTE day NUMERIC
@ATTRIBUTE locations NUMERIC
@ATTRIBUTE types NUMERIC
@ATTRIBUTE sensor_id NUMERIC

@DATA
8,6,2,30,94
8,6,2,26,143
8,6,2,26,143
8,6,2,26,143
8,6,2,26,143
8,6,2,26,143
8,6,2,26,143
8,6,2,71,129
8,6,2,71,129
8,6,2,71,129
8,6,2,71,129
8,6,2,30,131
8,6,2,30,131
8,6,2,30,131
8,6,2,30,131
8,6,2,30,131
8,6,2,30,131
8,6,2,30,131
8,6,2,30,131
8,2,2,30,94
8,2,2,26,143
8,2,2,26,143
8,2,2,26,143
8,2,2,26,143
8,2,2,26,143
8,2,2,26,143
8,2,2,26,143
8,2,2,30,131
8,2,2,30,131
8,2,2,30,131
8,2,2,30,131
8,2,2,30,131
8,2,2,30,131
8,2,2,30,131
8,2,2,30,131
8,2,2,30,131
8,2,2,30,131
8,2,2,30,131
8,7,2,30,94
8,7,2,30,94
8,7,2,30,94
8,7,2,30,94
8,7,2,30,94
8,7,2,30,94
8,7,2,30,94
8,7,2,30,94
8,7,2,30,94
8,7,2,30,94
8,7,2,30,94
8,7,2,30,94
8,7,2,30,94
8,7,2,30,94
8,7,2,30,94
8,7,2,30,94
8,7,2,30,94
8,7,2,30,94
8,7,2,30,94
8,7,2,30,94
8,7,2,30,99
8,7,2,30,99
8,7,2,30,99
8,7,2,30,99
8,7,2,30,99
8,7,2,30,99
8,7,2,30,99
8,7,2,30,106
8,7,2,30,106
8,7,2,30,106
8,7,2,30,106
8,7,2,30,106
8,7,2,30,106
8,7,2,30,118
8,7,2,30,118
8,7,2,30,118
8,7,2,30,118
8,7,2,30,118
8,7,2,30,118
8,7,2,30,118
8,7,2,30,118
8,7,2,30,118
8,7,2,30,118
8,7,2,30,118
8,7,2,30,118
8,7,2,30,118
8,7,2,30,118
8,7,2,30,118
8,7,2,30,118
8,7,2,30,118
8,7,2,30,118
8,7,2,30,118
8,7,2,30,118
8,7,2,30,118
8,7,2,30,118
8,7,2,29,119
8,7,2,26,143
8,7,2,26,143
8,7,2,26,143
8,7,2,26,143
8,7,2,26,143
8,7,2,26,143
8,7,2,26,143
8,7,2,26,143
8,7,2,26,143
8,7,2,26,143
8,7,2,26,143
8,7,2,26,143
8,7,2,26,143
8,7,2,26,143
8,7,2,26,143
8,7,2,26,143
8,7,2,26,143
8,7,2,71,129
8,7,2,71,129
8,7,2,71,129
8,7,2,71,129
8,7,2,71,129
8,7,2,71,129
8,7,2,71,129
8,7,2,71,129
8,7,2,71,129
8,7,2,71,129
8,7,2,71,129
8,7,2,71,129
8,7,2,71,129
8,7,2,71,129
8,7,2,71,129
8,7,2,71,129
8,7,2,71,129
8,7,2,71,129
8,7,2,71,129
8,7,2,30,131
8,7,2,30,131
8,7,2,30,131
8,7,2,30,131
8,7,2,30,131
8,7,2,30,131
8,7,2,30,131
8,7,2,30,131
8,7,2,30,131
8,7,2,30,131
8,7,2,30,131
8,7,2,30,131
8,7,2,30,131
8,7,2,30,131
8,7,2,30,131
8,7,2,30,131
8,7,2,30,131
8,7,2,30,131
8,7,2,30,131
8,7,2,30,131
8,1,2,26,143
8,1,2,26,143
8,1,2,26,143
8,1,2,26,143
8,1,2,26,143
8,1,2,26,143
8,1,2,26,143
8,1,2,71,129
8,1,2,71,129
8,1,2,71,129
8,1,2,71,129
8,1,2,71,129
8,1,2,30,131
8,1,2,30,131
8,1,2,30,131
8,1,2,30,131
8,1,2,30,131
8,4,2,30,94
8,4,2,30,94
8,4,2,30,94
8,4,2,30,106
8,4,2,30,106
8,4,2,29,119
8,4,2,29,119
8,4,2,26,143
8,4,2,26,143
8,4,2,26,143
8,4,2,26,143
8,4,2,26,143
8,4,2,26,143
8,4,2,26,143
8,4,2,26,143
8,4,2,26,143
8,4,2,26,143
8,4,2,26,143
8,4,2,26,143
8,4,2,26,143
8,4,2,30,131
8,4,2,30,131
8,4,2,30,131
8,4,2,30,131
8,4,2,30,131
8,4,2,30,131
8,4,2,30,131
8,4,2,30,131
8,4,2,30,131
8,4,2,30,131
8,4,2,30,131
8,4,2,30,131
8,4,2,30,131
8,4,2,30,131
8,4,2,30,131
8,4,2,30,131
8,4,2,30,131
8,4,2,30,131
8,4,2,30,131
8,4,2,30,131
8,3,2,26,143
8,3,2,26,143
8,3,2,26,143
8,3,2,26,143
8,3,2,26,143
8,3,2,26,143
8,3,2,30,131
8,3,2,30,131
8,3,2,30,131
8,3,2,30,131
8,3,2,30,131
8,3,2,30,131
8,4,2,29,119
8,4,2,29,119
8,4,2,26,143
8,4,2,26,143
8,4,2,26,143
8,4,2,26,143
8,4,2,26,143
8,4,2,26,143
8,4,2,26,143
8,4,2,26,143
8,4,2,26,143
8,4,2,26,143
8,4,2,26,143
8,4,2,30,131
8,4,2,30,131
8,4,2,30,131
8,4,2,30,131
3,6,2,3,51
3,6,2,3,53
3,6,2,3,53
3,6,2,3,53
3,6,2,3,53
3,6,2,3,53
3,6,2,3,53
3,6,2,3,53
3,6,2,3,53
3,6,2,3,53
3,6,2,3,53
3,6,2,3,53
3,6,2,3,53
3,6,2,3,53
3,6,2,3,55
3,6,2,3,55
3,6,2,3,55
3,6,2,3,55
3,6,2,3,55
3,6,2,3,55
3,6,2,3,55
3,6,2,3,59
3,6,2,3,59
3,6,2,3,59
3,6,2,3,59
3,6,2,3,59
3,6,2,3,61
3,6,2,3,61
3,6,2,3,61
3,6,2,3,61
3,6,2,3,63
3,6,2,3,63
3,6,2,3,63
3,6,2,3,66
3,6,2,3,66
3,6,2,3,66
3,6,2,3,66
3,6,2,3,66
3,6,2,3,66
3,6,2,3,66
3,6,2,3,66
3,6,2,3,72
3,6,2,3,72
3,6,2,3,72
3,6,2,3,72
3,6,2,3,72
3,6,2,3,72
3,6,2,3,72
3,6,2,3,72
3,6,2,3,72
3,6,2,3,72
3,6,2,3,72
3,6,2,3,72
3,6,2,3,72
3,6,2,3,72
3,6,2,3,73
3,6,2,3,73
3,6,2,3,73
3,6,2,3,73
3,6,2,3,73
3,6,2,3,73
3,6,2,3,73
3,6,2,3,73
3,6,2,3,73
3,6,2,3,73
3,6,2,3,73
3,6,2,3,73
3,6,2,3,73
3,6,2,3,80
3,6,2,3,80
3,6,2,3,80
3,6,2,3,80
3,6,2,3,80
3,6,2,3,80
3,6,2,3,80
3,6,2,3,80
3,6,2,3,80
3,6,2,3,80
3,6,2,3,80
3,6,2,3,80
3,6,2,3,80
3,6,2,3,80
3,6,2,3,80
3,6,2,31,70
3,6,2,31,70
3,6,2,31,70
3,6,2,31,70
3,6,2,31,70
3,6,2,31,70
3,6,2,31,70
3,6,2,31,70
3,6,2,31,70
3,6,2,31,70
3,6,2,31,70
3,6,2,31,70
3,6,2,31,70
3,6,2,31,70
3,6,2,31,70
3,6,2,31,70
3,6,2,31,70
3,6,2,4,84
3,6,2,4,84
3,6,2,4,84
3,6,2,4,84
3,6,2,4,84
3,6,2,4,84
3,6,2,4,84
3,6,2,4,84
3,6,2,4,84
3,6,2,4,84
3,6,2,4,84
3,6,2,4,84
3,6,2,4,84
3,6,2,4,84
3,6,2,4,84
3,6,2,4,84
3,6,2,4,84
3,6,2,4,84
3,6,2,4,135
3,6,2,4,135
3,6,2,4,135
3,6,2,4,135
3,6,2,4,135
3,6,2,4,135
3,6,2,4,135
3,6,2,4,135
3,6,2,22,90
3,6,2,22,90
3,6,2,22,90
3,6,2,22,90
3,6,2,22,90
3,6,2,22,90
3,6,2,22,90
3,6,2,22,90
3,6,2,22,90
3,6,2,22,90
3,6,2,9,95
3,6,2,9,95
3,6,2,9,95
3,6,2,9,105
3,6,2,9,105
3,6,2,9,120
3,6,2,9,120
3,6,2,9,120
3,6,2,9,120
3,6,2,9,120
3,6,2,9,120
3,6,2,23,142
3,6,2,23,142
3,6,2,23,142
3,6,2,23,142
3,6,2,23,142
3,6,2,23,142
3,2,2,3,53
3,2,2,3,53
3,2,2,3,53
3,2,2,3,55
3,2,2,3,55
3,2,2,3,55
3,2,2,3,55
3,2,2,3,61
3,2,2,3,61
3,2,2,3,63
3,2,2,3,72
3,2,2,3,72
3,2,2,3,72
3,2,2,3,72
3,2,2,3,72
3,2,2,3,73
3,2,2,3,80
3,2,2,3,80
3,2,2,3,80
3,2,2,3,80
3,2,2,3,80
3,2,2,4,84
3,2,2,4,84
3,2,2,4,84
3,2,2,4,84
3,2,2,4,84
3,2,2,4,84
3,2,2,4,84
3,2,2,4,84
3,2,2,4,84
3,2,2,22,90
3,2,2,22,90
3,2,2,9,120
3,7,5,12,85
3,7,2,3,51
3,7,2,3,51
3,7,2,3,51
3,7,2,3,51
3,7,2,3,51
3,7,2,3,51
3,7,2,3,53
3,7,2,3,53
3,7,2,3,53
3,7,2,3,53
3,7,2,3,53
3,7,2,3,53
3,7,2,3,53
3,7,2,3,53
3,7,2,3,53
3,7,2,3,53
3,7,2,3,53
3,7,2,3,53
3,7,2,3,53
3,7,2,3,55
3,7,2,3,55
3,7,2,3,55
3,7,2,3,55
3,7,2,3,55
3,7,2,3,55
3,7,2,3,55
3,7,2,3,55
3,7,2,3,55
3,7,2,3,55
3,7,2,3,55
3,7,2,3,55
3,7,2,3,55
3,7,2,3,55
3,7,2,3,55
3,7,2,3,55
3,7,2,3,55
3,7,2,3,55
3,7,2,3,55
3,7,2,3,55
3,7,2,3,55
3,7,2,3,55
3,7,2,3,59
3,7,2,3,59
3,7,2,3,59
3,7,2,3,59
3,7,2,3,59
3,7,2,3,59
3,7,2,3,59
3,7,2,3,61
3,7,2,3,61
3,7,2,3,61
3,7,2,3,61
3,7,2,3,61
3,7,2,3,61
3,7,2,3,61
3,7,2,3,61
3,7,2,3,61
3,7,2,3,63
3,7,2,3,63
3,7,2,3,63
3,7,2,3,63
3,7,2,3,63
3,7,2,3,63
3,7,2,3,66
3,7,2,3,66
3,7,2,3,66
3,7,2,3,66
3,7,2,3,66
3,7,2,3,66
3,7,2,3,66
3,7,2,3,66
3,7,2,3,72
3,7,2,3,72
3,7,2,3,72
3,7,2,3,72
3,7,2,3,72
3,7,2,3,72
3,7,2,3,72
3,7,2,3,72
3,7,2,3,72
3,7,2,3,72
3,7,2,3,72
3,7,2,3,72
3,7,2,3,72
3,7,2,3,72
3,7,2,3,73
3,7,2,3,73
3,7,2,3,80
3,7,2,3,80
3,7,2,3,80
3,7,2,3,80
3,7,2,3,80
3,7,2,3,80
3,7,2,3,80
3,7,2,3,80
3,7,2,3,80
3,7,2,3,80
3,7,2,3,80
3,7,2,3,80
3,7,2,3,83
3,7,2,3,83
3,7,2,3,83
3,7,2,3,83
3,7,2,3,83
3,7,2,3,83
3,7,2,3,83
3,7,2,3,83
3,7,2,3,83
3,7,2,3,83
3,7,2,3,83
3,7,2,3,83
3,7,2,3,83
3,7,2,3,83
3,7,2,3,89
3,7,2,3,132
3,7,2,3,132
3,7,2,3,132
3,7,2,3,132
3,7,2,3,132
3,7,2,3,132
3,7,2,3,138
3,7,2,3,138
3,7,2,3,138
3,7,2,3,138
3,7,2,3,138
3,7,2,3,138
3,7,2,3,138
3,7,2,3,138
3,7,2,31,70
3,7,2,31,70
3,7,2,31,70
3,7,2,31,70
3,7,2,31,70
3,7,2,31,70
3,7,2,31,70
3,7,2,31,70
3,7,2,31,70
3,7,2,31,70
3,7,2,31,70
3,7,2,31,70
3,7,2,31,70
3,7,2,31,70
3,7,2,31,70
3,7,2,31,70
3,7,2,31,70
3,7,2,31,70
3,7,2,31,70
3,7,2,31,70
3,7,2,31,70
3,7,2,31,70
3,7,2,31,70
3,7,2,31,70
3,7,2,31,70
3,7,2,31,70
3,7,2,31,70
3,7,2,31,70
3,7,2,4,52
3,7,2,4,52
3,7,2,4,52
3,7,2,4,52
3,7,2,4,52
3,7,2,4,52
3,7,2,4,52
3,7,2,4,69
3,7,2,4,69
3,7,2,4,69
3,7,2,4,69
3,7,2,4,69
3,7,2,4,69
3,7,2,4,78
3,7,2,4,78
3,7,2,4,78
3,7,2,4,78
3,7,2,4,78
3,7,2,4,78
3,7,2,4,78
3,7,2,4,78
3,7,2,4,78
3,7,2,4,78
3,7,2,4,78
3,7,2,4,78
3,7,2,4,78
3,7,2,4,78
3,7,2,4,78
3,7,2,4,78
3,7,2,4,78
3,7,2,4,78
3,7,2,4,78
3,7,2,4,78
3,7,2,4,78
3,7,2,4,78
3,7,2,4,78
3,7,2,4,78
3,7,2,4,84
3,7,2,4,84
3,7,2,4,84
3,7,2,4,84
3,7,2,4,84
3,7,2,4,84
3,7,2,4,84
3,7,2,4,84
3,7,2,4,84
3,7,2,4,84
3,7,2,4,84
3,7,2,4,84
3,7,2,4,84
3,7,2,4,84
3,7,2,4,84
3,7,2,4,84
3,7,2,4,84
3,7,2,4,84
3,7,2,4,84
3,7,2,4,84
3,7,2,4,84
3,7,2,4,84
3,7,2,4,84
3,7,2,4,84
3,7,2,4,84
3,7,2,4,84
3,7,2,4,84
3,7,2,4,84
3,7,2,4,84
3,7,2,4,87
3,7,2,4,87
3,7,2,4,87
3,7,2,4,87
3,7,2,4,87
3,7,2,4,125
3,7,2,4,125
3,7,2,4,125
3,7,2,4,125
3,7,2,4,125
3,7,2,4,125
3,7,2,4,125
3,7,2,4,125
3,7,2,4,125
3,7,2,4,125
3,7,2,4,125
3,7,2,4,125
3,7,2,4,125
3,7,2,4,125
3,7,2,4,125
3,7,2,4,125
3,7,2,4,135
3,7,2,4,135
3,7,2,4,135
3,7,2,4,135
3,7,2,4,135
3,7,2,4,135
3,7,2,4,135
3,7,2,4,135
3,7,2,4,135
3,7,2,4,135
3,7,2,4,135
3,7,2,4,135
3,7,2,4,135
3,7,2,4,135
3,7,2,4,135
3,7,2,4,135
3,7,2,4,135
3,7,2,4,135
3,7,2,4,135
3,7,2,4,135
3,7,2,4,135
3,7,2,4,135
3,7,2,4,135
3,7,2,4,135
3,7,2,28,98
3,7,2,28,98
3,7,2,28,98
3,7,2,28,98
3,7,2,28,98
3,7,2,28,98
3,7,2,28,98
3,7,2,22,90
3,7,2,22,90
3,7,2,22,90
3,7,2,22,90
3,7,2,22,90
3,7,2,22,90
3,7,2,9,95
3,7,2,9,95
3,7,2,9,95
3,7,2,9,105
3,7,2,9,105
3,7,2,9,105
3,7,2,9,120
3,7,2,23,142
3,7,2,23,142
3,7,2,23,142
3,7,2,23,142
3,7,2,23,142
3,7,2,23,142
3,7,2,23,142
3,7,2,23,142
3,7,2,23,142
3,7,2,23,142
3,7,2,23,142
3,7,2,23,142
3,7,2,23,142
3,7,2,23,142
3,7,2,23,142
3,7,2,23,142
3,7,2,23,142
3,7,2,12,136
3,1,2,3,51
3,1,2,3,53
3,1,2,3,53
3,1,2,3,53
3,1,2,3,53
3,1,2,3,53
3,1,2,3,53
3,1,2,3,53
3,1,2,3,55
3,1,2,3,55
3,1,2,3,55
3,1,2,3,55
3,1,2,3,55
3,1,2,3,55
3,1,2,3,55
3,1,2,3,55
3,1,2,3,55
3,1,2,3,59
3,1,2,3,59
3,1,2,3,59
3,1,2,3,61
3,1,2,3,61
3,1,2,3,63
3,1,2,3,66
3,1,2,3,66
3,1,2,3,66
3,1,2,3,66
3,1,2,3,66
3,1,2,3,66
3,1,2,3,66
3,1,2,3,66
3,1,2,3,72
3,1,2,3,72
3,1,2,3,72
3,1,2,3,73
3,1,2,3,73
3,1,2,3,80
3,1,2,3,80
3,1,2,3,80
3,1,2,3,80
3,1,2,3,80
3,1,2,3,80
3,1,2,3,80
3,1,2,3,80
3,1,2,3,83
3,1,2,3,83
3,1,2,31,70
3,1,2,31,70
3,1,2,31,70
3,1,2,31,70
3,1,2,31,70
3,1,2,31,70
3,1,2,31,70
3,1,2,31,70
3,1,2,31,70
3,1,2,31,70
3,1,2,4,78
3,1,2,4,84
3,1,2,4,84
3,1,2,4,84
3,1,2,4,84
3,1,2,4,84
3,1,2,4,84
3,1,2,4,84
3,1,2,4,84
3,1,2,4,84
3,1,2,4,84
3,1,2,4,84
3,1,2,4,84
3,1,2,4,84
3,1,2,4,87
3,1,2,4,125
3,1,2,4,135
3,1,2,28,98
3,1,2,22,90
3,1,2,22,90
3,1,2,22,90
3,1,2,22,90
3,1,2,22,90
3,1,2,22,90
3,1,2,22,90
3,1,2,22,90
3,1,2,9,95
3,1,2,9,95
3,1,2,9,120
3,1,2,9,120
3,1,2,23,142
3,1,2,23,142
3,1,2,23,142
3,1,2,23,142
3,1,2,23,142
3,1,2,23,142
3,1,2,23,142
3,4,2,3,51
3,4,2,3,53
3,4,2,3,53
3,4,2,3,53
3,4,2,3,53
3,4,2,3,55
3,4,2,3,55
3,4,2,3,55
3,4,2,3,55
3,4,2,3,55
3,4,2,3,55
3,4,2,3,55
3,4,2,3,55
3,4,2,3,55
3,4,2,3,55
3,4,2,3,55
3,4,2,3,55
3,4,2,3,55
3,4,2,3,55
3,4,2,3,59
3,4,2,3,59
3,4,2,3,59
3,4,2,3,59
3,4,2,3,61
3,4,2,3,61
3,4,2,3,61
3,4,2,3,61
3,4,2,3,63
3,4,2,3,63
3,4,2,3,63
3,4,2,3,63
3,4,2,3,63
3,4,2,3,66
3,4,2,3,66
3,4,2,3,66
3,4,2,3,66
3,4,2,3,66
3,4,2,3,66
3,4,2,3,72
3,4,2,3,72
3,4,2,3,72
3,4,2,3,72
3,4,2,3,72
3,4,2,3,72
3,4,2,3,72
3,4,2,3,73
3,4,2,3,73
3,4,2,3,73
3,4,2,3,73
3,4,2,3,73
3,4,2,3,73
3,4,2,3,73
3,4,2,3,73
3,4,2,3,73
3,4,2,3,73
3,4,2,3,73
3,4,2,3,73
3,4,2,3,80
3,4,2,3,80
3,4,2,3,80
3,4,2,3,80
3,4,2,3,80
3,4,2,3,80
3,4,2,3,80
3,4,2,3,80
3,4,2,3,80
3,4,2,3,80
3,4,2,3,80
3,4,2,3,83
3,4,2,3,132
3,4,2,3,132
3,4,2,3,138
3,4,2,3,138
3,4,2,63,60
3,4,2,63,60
3,4,2,63,60
3,4,2,31,70
3,4,2,31,70
